Date,Open,High,Low,Close
10/01/2018 10:50,1.19824,1.19863,1.198,1.19835
10/01/2018 10:55,1.19838,1.19848,1.19792,1.19826
10/01/2018 11:00,1.19826,1.19837,1.19742,1.19807
10/01/2018 11:05,1.19805,1.19809,1.19744,1.19771
10/01/2018 11:10,1.19772,1.19775,1.19709,1.19747
10/01/2018 11:15,1.19751,1.19766,1.19707,1.19707
10/01/2018 11:20,1.19706,1.19726,1.19644,1.19687
10/01/2018 11:25,1.19684,1.19723,1.19653,1.19723
10/01/2018 11:30,1.19722,1.19722,1.19682,1.19682
10/01/2018 11:35,1.19684,1.19694,1.19624,1.19676
10/01/2018 11:40,1.19676,1.19677,1.19629,1.19666
10/01/2018 11:45,1.19667,1.1968,1.19622,1.1963
10/01/2018 11:50,1.19633,1.19652,1.1958,1.19598
10/01/2018 11:55,1.19601,1.19618,1.19554,1.19586
10/01/2018 12:00,1.19579,1.19609,1.19574,1.19607
10/01/2018 12:05,1.19608,1.19636,1.19598,1.19618
10/01/2018 12:10,1.19618,1.19623,1.19506,1.19524
10/01/2018 12:15,1.19526,1.19617,1.19526,1.19609
10/01/2018 12:20,1.1961,1.19642,1.19608,1.19627
10/01/2018 12:25,1.19627,1.19631,1.19592,1.19593
10/01/2018 12:30,1.19593,1.19601,1.19556,1.19563
10/01/2018 12:35,1.19565,1.1962,1.19564,1.19617
10/01/2018 12:40,1.19616,1.19634,1.19605,1.19616
10/01/2018 12:45,1.19615,1.19651,1.19615,1.19637
10/01/2018 12:50,1.19637,1.19638,1.19591,1.19615
10/01/2018 12:55,1.19616,1.19637,1.19601,1.19605
10/01/2018 13:00,1.19601,1.19669,1.19591,1.19657
10/01/2018 13:05,1.19656,1.19668,1.19633,1.19637
10/01/2018 13:10,1.19636,1.19647,1.19619,1.19647
10/01/2018 13:15,1.19648,1.19667,1.19641,1.19667
10/01/2018 13:20,1.19668,1.19676,1.19663,1.19669
10/01/2018 13:25,1.19668,1.19669,1.1963,1.19648
10/01/2018 13:30,1.19647,1.19658,1.19612,1.19626
10/01/2018 13:35,1.19625,1.19653,1.19572,1.19594
10/01/2018 13:40,1.19595,1.19599,1.19586,1.19597
10/01/2018 13:45,1.19597,1.19611,1.19554,1.19565
10/01/2018 13:50,1.19567,1.19589,1.19566,1.19589
10/01/2018 13:55,1.1959,1.19608,1.19574,1.19586
10/01/2018 14:00,1.19585,1.19591,1.19571,1.1959
10/01/2018 14:05,1.19589,1.19594,1.19529,1.1953
10/01/2018 14:10,1.19532,1.19545,1.194,1.19443
10/01/2018 14:15,1.19445,1.19496,1.19445,1.19446
10/01/2018 14:20,1.19445,1.19506,1.19431,1.1949
10/01/2018 14:25,1.19489,1.19505,1.19473,1.19485
10/01/2018 14:30,1.19484,1.19545,1.19474,1.19512
10/01/2018 14:35,1.19513,1.1952,1.19483,1.19488
10/01/2018 14:40,1.19487,1.19545,1.19481,1.1953
10/01/2018 14:45,1.19529,1.1953,1.19488,1.19511
10/01/2018 14:50,1.19513,1.19579,1.19508,1.19575
10/01/2018 14:55,1.19574,1.19586,1.19553,1.19582
10/01/2018 15:00,1.19577,1.19653,1.19573,1.19603
10/01/2018 15:05,1.19605,1.19643,1.19565,1.19575
10/01/2018 15:10,1.19575,1.19603,1.19546,1.19573
10/01/2018 15:15,1.19575,1.19578,1.19542,1.19578
10/01/2018 15:20,1.19577,1.19588,1.19557,1.19587
10/01/2018 15:25,1.19586,1.19594,1.1957,1.19587
10/01/2018 15:30,1.19586,1.19588,1.19556,1.19559
10/01/2018 15:35,1.19558,1.19571,1.1955,1.19567
10/01/2018 15:40,1.19566,1.19613,1.19562,1.19605
